model_id,holdout_year,orchard_id,parameter_kind,parameter_value,fit_scope,n_fit_samples,training_years,fit_season_ids
P1-B0,2022,bannei,median_duration_days,117,orchard,3,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026
P1-B0,2022,hongming,median_duration_days,122,orchard,2,2023;2024;2025;2026,hongming_2023;hongming_2024
P1-B0,2022,luhong,median_duration_days,131,orchard,4,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026
P1-B0,2023,bannei,median_duration_days,117,orchard,3,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026
P1-B0,2023,hongming,median_duration_days,122,orchard,2,2022;2024;2025;2026,hongming_2022;hongming_2024
P1-B0,2023,luhong,median_duration_days,131,orchard,4,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026
P1-B0,2024,bannei,median_duration_days,117,orchard,3,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2026
P1-B0,2024,hongming,median_duration_days,117,orchard,2,2022;2023;2025;2026,hongming_2022;hongming_2023
P1-B0,2024,luhong,median_duration_days,128.5,orchard,4,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026
P1-B0,2025,luhong,median_duration_days,128.5,orchard,4,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026
P1-B0,2026,bannei,median_duration_days,117,orchard,3,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024
P1-B0,2026,luhong,median_duration_days,130.5,orchard,4,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025
P1-B1,2022,bannei,median_target_day_offset_from_harvest_Jan01,19,orchard,3,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026
P1-B1,2022,hongming,median_target_day_offset_from_harvest_Jan01,19,orchard,2,2023;2024;2025;2026,hongming_2023;hongming_2024
P1-B1,2022,luhong,median_target_day_offset_from_harvest_Jan01,8.5,orchard,4,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026
P1-B1,2023,bannei,median_target_day_offset_from_harvest_Jan01,19,orchard,3,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026
P1-B1,2023,hongming,median_target_day_offset_from_harvest_Jan01,14,orchard,2,2022;2024;2025;2026,hongming_2022;hongming_2024
P1-B1,2023,luhong,median_target_day_offset_from_harvest_Jan01,8.5,orchard,4,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026
P1-B1,2024,bannei,median_target_day_offset_from_harvest_Jan01,19,orchard,3,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2026
P1-B1,2024,hongming,median_target_day_offset_from_harvest_Jan01,9,orchard,2,2022;2023;2025;2026,hongming_2022;hongming_2023
P1-B1,2024,luhong,median_target_day_offset_from_harvest_Jan01,2,orchard,4,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026
P1-B1,2025,luhong,median_target_day_offset_from_harvest_Jan01,2,orchard,4,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026
P1-B1,2026,bannei,median_target_day_offset_from_harvest_Jan01,19,orchard,3,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024
P1-B1,2026,luhong,median_target_day_offset_from_harvest_Jan01,8.5,orchard,4,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025
