model_id,holdout_year,n,MAE_days,RMSE_days,mean_bias_days,Spearman_r,prediction_interval_coverage,interval_note
P2-B0,2022,3,5.333333333,5.416025603,-5.333333333,1,NA,not_estimated_insufficient_independent_calibration_years
P2-B0,2023,3,4.333333333,4.509249753,-4.333333333,0.8660254038,NA,not_estimated_insufficient_independent_calibration_years
P2-B0,2024,3,9,9.746794345,9,1,NA,not_estimated_insufficient_independent_calibration_years
P2-B0,2025,1,13,13,13,NA,NA,not_estimated_insufficient_independent_calibration_years
P2-B0,2026,2,6,6.32455532,-2,1,NA,not_estimated_insufficient_independent_calibration_years
