model_id,holdout_year,orchard_id,parameter_kind,parameter_value,fit_scope,n_fit_samples,training_years,fit_season_ids
P3-B0,2022,bannei,median_duration_days,67,orchard,3,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026
P3-B0,2022,hongming,median_duration_days,66,orchard,2,2023;2024;2025;2026,hongming_2023;hongming_2024
P3-B0,2022,luhong,median_duration_days,79.5,orchard,4,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026
P3-B0,2023,bannei,median_duration_days,67,orchard,3,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026
P3-B0,2023,hongming,median_duration_days,66,orchard,2,2022;2024;2025;2026,hongming_2022;hongming_2024
P3-B0,2023,luhong,median_duration_days,79.5,orchard,4,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026
P3-B0,2024,bannei,median_duration_days,71,orchard,3,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2026
P3-B0,2024,hongming,median_duration_days,69,orchard,2,2022;2023;2025;2026,hongming_2022;hongming_2023
P3-B0,2024,luhong,median_duration_days,79,orchard,4,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026
P3-B0,2025,luhong,median_duration_days,79.5,orchard,4,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026
P3-B0,2026,bannei,median_duration_days,71,orchard,3,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024
P3-B0,2026,luhong,median_duration_days,79,orchard,4,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025
