fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
main_P3_P3-M1_LOYO_2025,LOYO,2025,P3-M1,hongming,1425.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M1_LOYO_2025,LOYO,2025,P3-M1,luhong,1588.75,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
main_P3_P3-B0_LOYO_2026,LOYO,2026,P3-B0,bannei,71,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-B0_LOYO_2026,LOYO,2026,P3-B0,hongming,69,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-B0_LOYO_2026,LOYO,2026,P3-B0,luhong,79,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
main_P3_P3-M1_LOYO_2026,LOYO,2026,P3-M1,bannei,1381.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-M1_LOYO_2026,LOYO,2026,P3-M1,hongming,1425.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M1_LOYO_2026,LOYO,2026,P3-M1,luhong,1508.8,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
main_P3_P3-B0_rolling_2024,rolling,2024,P3-B0,bannei,72,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",4,2022;2023,bannei_2022;bannei_2023,nested_training_year_cv
main_P3_P3-B0_rolling_2024,rolling,2024,P3-B0,hongming,69,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",4,2022;2023,hongming_2022;hongming_2023,nested_training_year_cv
main_P3_P3-B0_rolling_2024,rolling,2024,P3-B0,luhong,74,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",4,2022;2023,luhong_2022;luhong_2023,nested_training_year_cv
main_P3_P3-M1_rolling_2024,rolling,2024,P3-M1,bannei,1448.15,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",7.5,2022;2023,bannei_2022;bannei_2023,nested_training_year_cv
