fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
bannei_early_sensitivity_P1_P1-B0_LOYO_2023,LOYO,2023,P1-B0,bannei,123,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",9.5,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2023,LOYO,2023,P1-B0,hongming,122,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",9.5,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2023,LOYO,2023,P1-B0,luhong,131,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",9.5,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2023,LOYO,2023,P1-B1,bannei,25,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",15.2,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2023,LOYO,2023,P1-B1,hongming,14,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",15.2,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2023,LOYO,2023,P1-B1,luhong,8.5,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",15.2,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2023,LOYO,2023,P1-D1,bannei,60,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",6.6,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2023,LOYO,2023,P1-D1,hongming,63,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",6.6,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2023,LOYO,2023,P1-D1,luhong,41.5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",6.6,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2023,LOYO,2023,P1-D2,bannei,102.65,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",10.9,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2023,LOYO,2023,P1-D2,hongming,92.7,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",10.9,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2023,LOYO,2023,P1-D2,luhong,33.4,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",10.9,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2023,LOYO,2023,P1-H1,bannei,1148.5,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",10.8,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2023,LOYO,2023,P1-H1,hongming,992,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",10.8,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2023,LOYO,2023,P1-H1,luhong,533,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",10.8,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2023,LOYO,2023,P1-H2,bannei,2568.3,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",9.3,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2023,LOYO,2023,P1-H2,hongming,2759.25,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",9.3,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2023,LOYO,2023,P1-H2,luhong,980.9,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",9.3,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2023,LOYO,2023,P1-H3,bannei,728.185,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 15, ""upper"": 25}",7.2,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2023,LOYO,2023,P1-H3,hongming,661.705,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 15, ""upper"": 25}",7.2,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2023,LOYO,2023,P1-H3,luhong,386.145,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 15, ""upper"": 25}",7.2,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2024,LOYO,2024,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",3,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2024,LOYO,2024,P1-B0,hongming,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",3,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2024,LOYO,2024,P1-B0,luhong,128.5,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",3,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2024,LOYO,2024,P1-B1,bannei,19,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",5.7,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B1_LOYO_2024,LOYO,2024,P1-B1,hongming,9,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",5.7,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
