validation,model_id,holdout_year,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days
LOYO,P3-B0,2022,3,3,0,6,6.976149845,4,1.333333333,1,6
LOYO,P3-B0,2023,3,3,0,3.333333333,3.915780041,3,-2.666666667,1,3.333333333
LOYO,P3-B0,2024,3,3,0,7,8.812869378,6,6.333333333,1,7
LOYO,P3-B0,2025,1,1,0,1,1,1,1,NA,1
LOYO,P3-B0,2026,2,2,0,4.5,4.527692569,4.5,-0.5,-1,4.5
LOYO,P3-M1,2022,3,3,0,7,9.146948489,5,6.333333333,1,7
LOYO,P3-M1,2023,3,3,0,3.333333333,3.829708431,2,-2,0.8660254038,3.333333333
LOYO,P3-M1,2024,3,3,0,4,4.546060566,5,0,1,4
LOYO,P3-M1,2025,1,1,0,5,5,5,5,NA,5
LOYO,P3-M1,2026,2,2,0,5,5.830951895,5,-3,-1,5
LOYO,P3-M2,2022,3,3,0,10.66666667,12.35583533,9,10.66666667,1,10.66666667
LOYO,P3-M2,2023,3,3,0,3.666666667,4.795831523,2,-3,0.5,3.666666667
LOYO,P3-M2,2024,3,3,0,5.333333333,6.055300708,5,2,1,5.333333333
LOYO,P3-M2,2025,1,1,0,5,5,5,5,NA,5
LOYO,P3-M2,2026,2,2,0,7,7,7,0,-1,7
rolling,P3-B0,2024,3,3,0,9,9.949874371,6,5,1,9
rolling,P3-B0,2025,1,1,0,0,0,0,0,NA,0
rolling,P3-B0,2026,2,2,0,4.5,4.527692569,4.5,-0.5,-1,4.5
rolling,P3-M1,2024,3,3,0,6.666666667,7.788880964,9,-0.6666666667,1,6.666666667
rolling,P3-M1,2025,1,1,0,3,3,3,3,NA,3
rolling,P3-M1,2026,2,2,0,5,5.830951895,5,-3,-1,5
rolling,P3-M2,2024,3,3,0,7,7.85281266,9,1,1,7
rolling,P3-M2,2025,1,1,0,3,3,3,3,NA,3
rolling,P3-M2,2026,2,2,0,7,7,7,0,-1,7
