validation,model_id,orchard_id,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days
LOYO,P1-B0,bannei,4,4,0,5.5,7.810249676,5,-0.5,NA,5.5
LOYO,P1-B0,hongming,3,3,0,6.666666667,7.071067812,5,0,0.5,6.666666667
LOYO,P1-B0,luhong,5,5,0,3.2,3.286335345,3,0,1,3.2
LOYO,P1-B1,bannei,4,4,0,5.5,7.810249676,5,-0.5,NA,5.5
LOYO,P1-B1,hongming,3,3,0,10,12.24744871,15,0,-1,10
LOYO,P1-B1,luhong,5,5,0,9.8,10.16857906,9,-0.6,-0.9128709292,9.8
LOYO,P1-D1,bannei,4,4,0,7.25,7.365459931,7,0.25,0.5,7.25
LOYO,P1-D1,hongming,3,3,0,4,4.898979486,6,0,1,4
LOYO,P1-D1,luhong,5,5,0,6.8,7.483314774,7,0.4,0.05270462767,6.8
LOYO,P1-D2,bannei,4,3,1,97.25,182.7313602,12,-3.333333333,0.8660254038,8
LOYO,P1-D2,hongming,3,3,0,12.33333333,14.0118997,16,0.3333333333,0.5,12.33333333
LOYO,P1-D2,luhong,5,4,1,88.6,164.3733555,23,1.5,0,19.5
LOYO,P1-H1,bannei,4,4,0,14.5,15.92168333,12.5,-2,0.316227766,14.5
LOYO,P1-H1,hongming,3,3,0,7.666666667,9.88264472,6,-3,0.5,7.666666667
LOYO,P1-H1,luhong,5,5,0,10.8,11.61034022,12,-1.6,0.1622214211,10.8
LOYO,P1-H2,bannei,4,4,0,9.25,10.71214264,9,-0.25,0.632455532,9.25
LOYO,P1-H2,hongming,3,3,0,10,12.27463509,14,0.6666666667,0.5,10
LOYO,P1-H2,luhong,5,5,0,16,17.79887637,11,3.2,0,16
LOYO,P1-H3,bannei,4,4,0,5.75,7.017834424,5,3.25,0.316227766,5.75
LOYO,P1-H3,hongming,3,3,0,8,9.092121131,10,0,0.5,8
LOYO,P1-H3,luhong,5,5,0,6.8,8.246211251,7,-0.8,0.05270462767,6.8
rolling,P1-B0,bannei,2,2,0,11,11.04536102,11,-1,NA,11
rolling,P1-B0,hongming,1,1,0,10,10,10,-10,NA,10
rolling,P1-B0,luhong,3,3,0,4,4.242640687,5,-2.666666667,1,4
rolling,P1-B1,bannei,2,2,0,11,11.04536102,11,-1,NA,11
rolling,P1-B1,hongming,1,1,0,15,15,15,-15,NA,15
rolling,P1-B1,luhong,3,3,0,11.66666667,11.81806527,13,-5.666666667,-1,11.66666667
rolling,P1-D1,bannei,2,2,0,8,8.062257748,8,8,1,8
rolling,P1-D1,hongming,1,1,0,4,4,4,4,NA,4
rolling,P1-D1,luhong,3,3,0,21,27.47726333,10,16.33333333,0,21
rolling,P1-D2,bannei,2,1,1,194,258.6058777,194,23,NA,23
rolling,P1-D2,hongming,1,1,0,3,3,3,3,NA,3
rolling,P1-D2,luhong,3,2,1,132.3333333,211.2147406,23,-7,NA,16
rolling,P1-H1,bannei,2,2,0,13.5,13.58307771,13.5,13.5,1,13.5
rolling,P1-H1,hongming,1,1,0,1,1,1,1,NA,1
rolling,P1-H1,luhong,3,3,0,11.66666667,11.67618659,12,3.666666667,0,11.66666667
rolling,P1-H2,bannei,2,2,0,12,12.04159458,12,12,1,12
rolling,P1-H2,hongming,1,1,0,0,0,0,0,NA,0
rolling,P1-H2,luhong,3,3,0,13,13.91641716,10,-0.3333333333,0,13
rolling,P1-H3,bannei,2,2,0,10,10.19803903,10,10,1,10
rolling,P1-H3,hongming,1,1,0,2,2,2,2,NA,2
rolling,P1-H3,luhong,3,3,0,9,9.433981132,7,0.3333333333,0,9
