fit_id,holdout_year,validation,model_id,candidate_index,spec,inner_MAE_days,training_years
main_P1_P1-B0_LOYO_2022,2022,LOYO,P1-B0,0,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2023;2024;2025;2026
main_P1_P1-B1_LOYO_2022,2022,LOYO,P1-B1,0,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",12,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,0,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmean_c""}",50.88888889,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,1,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 20, ""variable"": ""tmean_c""}",139.6666667,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,2,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 18, ""variable"": ""tmean_c""}",53.22222222,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,3,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 15, ""variable"": ""tmean_c""}",249.5555556,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,4,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.444444444,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 20, ""variable"": ""tmin_c""}",52.33333333,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,6,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 18, ""variable"": ""tmin_c""}",55.66666667,2023;2024;2025;2026
main_P1_P1-D1_LOYO_2022,2022,LOYO,P1-D1,7,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 15, ""variable"": ""tmin_c""}",169.8888889,2023;2024;2025;2026
main_P1_P1-D2_LOYO_2022,2022,LOYO,P1-D2,0,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 18}",49.11111111,2023;2024;2025;2026
main_P1_P1-D2_LOYO_2022,2022,LOYO,P1-D2,1,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 20}",87,2023;2024;2025;2026
main_P1_P1-D2_LOYO_2022,2022,LOYO,P1-D2,2,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",19.66666667,2023;2024;2025;2026
main_P1_P1-H1_LOYO_2022,2022,LOYO,P1-H1,0,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",10,2023;2024;2025;2026
main_P1_P1-H1_LOYO_2022,2022,LOYO,P1-H1,1,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 20}",23.88888889,2023;2024;2025;2026
main_P1_P1-H1_LOYO_2022,2022,LOYO,P1-H1,2,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 18}",88.88888889,2023;2024;2025;2026
main_P1_P1-H1_LOYO_2022,2022,LOYO,P1-H1,3,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 15}",169.7777778,2023;2024;2025;2026
main_P1_P1-H2_LOYO_2022,2022,LOYO,P1-H2,0,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 18}",85.77777778,2023;2024;2025;2026
main_P1_P1-H2_LOYO_2022,2022,LOYO,P1-H2,1,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 20}",88.55555556,2023;2024;2025;2026
main_P1_P1-H2_LOYO_2022,2022,LOYO,P1-H2,2,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",16.44444444,2023;2024;2025;2026
main_P1_P1-H3_LOYO_2022,2022,LOYO,P1-H3,0,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 12, ""upper"": 20}",88.55555556,2023;2024;2025;2026
main_P1_P1-H3_LOYO_2022,2022,LOYO,P1-H3,1,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 12, ""upper"": 22}",16.44444444,2023;2024;2025;2026
main_P1_P1-H3_LOYO_2022,2022,LOYO,P1-H3,2,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 12, ""upper"": 25}",8.555555556,2023;2024;2025;2026
