validation,model_id,orchard_id,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days
LOYO,P3-B0,bannei,4,4,0,7,8.124038405,5,2,0.316227766,7
LOYO,P3-B0,hongming,3,3,0,4,4.242640687,3,0,0.5,4
LOYO,P3-B0,luhong,5,5,0,3.8,5.458937626,1,1.4,-0.8885233166,3.8
LOYO,P3-M1,bannei,4,4,0,3.75,4.387482194,4,0.25,0.2,3.75
LOYO,P3-M1,hongming,3,3,0,2.666666667,3.16227766,2,0.6666666667,0.5,2.666666667
LOYO,P3-M1,luhong,5,5,0,7,8.282511696,5,1.8,-0.8157894737,7
LOYO,P3-M2,bannei,4,4,0,7,7.245688373,7.5,3,0.4,7
LOYO,P3-M2,hongming,3,3,0,4.333333333,5.446711546,2,3,-0.5,4.333333333
LOYO,P3-M2,luhong,5,5,0,7.4,9.602083107,5,2.6,-0.8720815993,7.4
rolling,P3-B0,bannei,2,2,0,9.5,10.9772492,9.5,9.5,1,9.5
rolling,P3-B0,hongming,1,1,0,6,6,6,6,NA,6
rolling,P3-B0,luhong,3,3,0,3.666666667,4.509249753,5,-3.666666667,0,3.666666667
rolling,P3-M1,bannei,2,2,0,5.5,6.519202405,5.5,5.5,1,5.5
rolling,P3-M1,hongming,1,1,0,1,1,1,-1,NA,1
rolling,P3-M1,luhong,3,3,0,7,7.593857167,8,-5,-0.5,7
rolling,P3-M2,bannei,2,2,0,8.5,8.631338251,8.5,8.5,1,8.5
rolling,P3-M2,hongming,1,1,0,2,2,2,2,NA,2
rolling,P3-M2,luhong,3,3,0,6.333333333,6.806859286,7,-4.333333333,-0.5,6.333333333
