model_id,MAE_improvement_vs_B0_days,nonworse_loyo_years,best_improvement_holdout_year,improvement_without_best_year_days,fragile,rolling_delta_MAE_vs_B0_days,selected_specs_across_loyo,parameter_validity_check_pass,stable_superiority,improvement_cluster_bootstrap_95_low_days,improvement_cluster_bootstrap_95_high_days,uncertainty_note
P3-B0,0,5,2022,0,False,0,1,True,False,0,0,five_year_descriptive_cluster_bootstrap_not_independent_external_validation
P3-M1,0.08333333333,2,2024,-0.8888888889,True,-0.5,1,True,False,-1.666666667,1.8,five_year_descriptive_cluster_bootstrap_not_independent_external_validation
P3-M2,-1.583333333,1,2024,-2.666666667,False,0.3333333333,4,True,False,-4.1,0.6428571429,five_year_descriptive_cluster_bootstrap_not_independent_external_validation
