fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
main_P2_P2-B0_LOYO_2022,LOYO,2022,P2-B0,bannei,45,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",8.888888889,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P2_P2-B0_LOYO_2022,LOYO,2022,P2-B0,hongming,49.5,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",8.888888889,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P2_P2-B0_LOYO_2022,LOYO,2022,P2-B0,luhong,36.5,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",8.888888889,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P2_P2-M1_LOYO_2022,LOYO,2022,P2-M1,bannei,387.2,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",6.666666667,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P2_P2-M1_LOYO_2022,LOYO,2022,P2-M1,hongming,421.85,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",6.666666667,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P2_P2-M1_LOYO_2022,LOYO,2022,P2-M1,luhong,338.7,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",6.666666667,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P2_P2-B0_LOYO_2023,LOYO,2023,P2-B0,bannei,45,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",9.333333333,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026,nested_training_year_cv
main_P2_P2-B0_LOYO_2023,LOYO,2023,P2-B0,hongming,50.5,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",9.333333333,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
main_P2_P2-B0_LOYO_2023,LOYO,2023,P2-B0,luhong,36.5,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",9.333333333,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P2_P2-M1_LOYO_2023,LOYO,2023,P2-M1,bannei,380.4,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",7.222222222,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026,nested_training_year_cv
