fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
main_P1_P1-B0_LOYO_2022,LOYO,2022,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P1_P1-B0_LOYO_2022,LOYO,2022,P1-B0,hongming,122,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P1_P1-B0_LOYO_2022,LOYO,2022,P1-B0,luhong,131,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",7.888888889,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P1_P1-B1_LOYO_2022,LOYO,2022,P1-B1,bannei,19,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",12,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P1_P1-B1_LOYO_2022,LOYO,2022,P1-B1,hongming,19,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",12,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P1_P1-B1_LOYO_2022,LOYO,2022,P1-B1,luhong,8.5,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",12,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P1_P1-D1_LOYO_2022,LOYO,2022,P1-D1,bannei,53,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.444444444,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P1_P1-D1_LOYO_2022,LOYO,2022,P1-D1,hongming,65,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.444444444,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P1_P1-D1_LOYO_2022,LOYO,2022,P1-D1,luhong,37,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.444444444,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P1_P1-D2_LOYO_2022,LOYO,2022,P1-D2,bannei,102.3,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",19.66666667,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
