fit_id,holdout_year,validation,model_id,candidate_index,spec,inner_MAE_days,training_years
main_P2_P2-B0_rolling_2024,2024,rolling,P2-B0,0,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",0.6666666667,2022;2023
main_P2_P2-M1_rolling_2024,2024,rolling,P2-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}",1.166666667,2022;2023
main_P2_P2-M1_rolling_2024,2024,rolling,P2-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 8}",1.5,2022;2023
main_P2_P2-M1_rolling_2024,2024,rolling,P2-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 10}",2.166666667,2022;2023
main_P2_P2-M1_rolling_2024,2024,rolling,P2-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",2.333333333,2022;2023
main_P2_P2-M1_rolling_2024,2024,rolling,P2-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}",3.333333333,2022;2023
main_P2_P2-B0_rolling_2025,2025,rolling,P2-B0,0,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",5.777777778,2022;2023;2024
main_P2_P2-M1_rolling_2025,2025,rolling,P2-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}",4,2022;2023;2024
main_P2_P2-M1_rolling_2025,2025,rolling,P2-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 8}",4.111111111,2022;2023;2024
main_P2_P2-M1_rolling_2025,2025,rolling,P2-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 10}",3.888888889,2022;2023;2024
main_P2_P2-M1_rolling_2025,2025,rolling,P2-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",4.222222222,2022;2023;2024
main_P2_P2-M1_rolling_2025,2025,rolling,P2-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}",5.111111111,2022;2023;2024
main_P2_P2-B0_rolling_2026,2026,rolling,P2-B0,0,"{""kind"": ""duration"", ""model_id"": ""P2-B0""}",7.9,2022;2023;2024;2025
main_P2_P2-M1_rolling_2026,2026,rolling,P2-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 5}",6.2,2022;2023;2024;2025
