validation,model_id,holdout_year,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days
LOYO,P1-B0,2022,3,3,0,2.666666667,3.366501646,3,2.666666667,1,2.666666667
LOYO,P1-B0,2023,3,3,0,2.666666667,3.366501646,3,2.666666667,0.8660254038,2.666666667
LOYO,P1-B0,2024,3,3,0,8.666666667,9.309493363,10,-8.666666667,1,8.666666667
LOYO,P1-B0,2025,1,1,0,4,4,4,-4,NA,4
LOYO,P1-B0,2026,2,2,0,6,7.211102551,6,6,1,6
LOYO,P1-B1,2022,3,3,0,7.333333333,9.556847458,7,7.333333333,0.8660254038,7.333333333
LOYO,P1-B1,2023,3,3,0,2.333333333,4.041451884,0,2.333333333,1,2.333333333
LOYO,P1-B1,2024,3,3,0,13.33333333,13.39153962,13,-13.33333333,1,13.33333333
LOYO,P1-B1,2025,1,1,0,13,13,13,-13,NA,13
LOYO,P1-B1,2026,2,2,0,9.5,9.513148795,9.5,9.5,1,9.5
LOYO,P1-D1,2022,3,3,0,7,7.047458171,7,-3,1,7
LOYO,P1-D1,2023,3,3,0,4.333333333,5.322906474,6,4.333333333,1,4.333333333
LOYO,P1-D1,2024,3,3,0,4.333333333,4.932882862,6,-3.666666667,1,4.333333333
LOYO,P1-D1,2025,1,1,0,9,9,9,-9,NA,9
LOYO,P1-D1,2026,2,2,0,9.5,9.513148795,9.5,9.5,1,9.5
LOYO,P1-D2,2022,3,3,0,16.33333333,21.17388328,16,16.33333333,-1,16.33333333
LOYO,P1-D2,2023,3,3,0,16,16.14517472,17,-16,1,16
LOYO,P1-D2,2024,3,3,0,6.333333333,6.806859286,7,6.333333333,1,6.333333333
LOYO,P1-D2,2025,1,1,0,23,23,23,-23,NA,23
LOYO,P1-D2,2026,2,0,2,365,365,365,NA,NA,NA
LOYO,P1-H1,2022,3,3,0,5.666666667,6.027713773,6,-1.666666667,1,5.666666667
LOYO,P1-H1,2023,3,3,0,17.66666667,18.48422751,16,-17.66666667,0.5,17.66666667
LOYO,P1-H1,2024,3,3,0,7.666666667,9.036961141,10,7.666666667,0.5,7.666666667
LOYO,P1-H1,2025,1,1,0,16,16,16,-16,NA,16
LOYO,P1-H1,2026,2,2,0,13,13.15294644,13,13,1,13
LOYO,P1-H2,2022,3,3,0,16.66666667,19.33907961,16,16.66666667,-0.5,16.66666667
LOYO,P1-H2,2023,3,3,0,13.66666667,13.82027496,14,-13.66666667,1,13.66666667
LOYO,P1-H2,2024,3,3,0,4,5.477225575,3,2,0.8660254038,4
LOYO,P1-H2,2025,1,1,0,21,21,21,-21,NA,21
LOYO,P1-H2,2026,2,2,0,11.5,11.5974135,11.5,11.5,1,11.5
LOYO,P1-H3,2022,3,3,0,4,5.830951895,1,3.333333333,1,4
LOYO,P1-H3,2023,3,3,0,6.666666667,7.659416862,4,-6.666666667,1,6.666666667
LOYO,P1-H3,2024,3,3,0,5,5.446711546,6,5,1,5
LOYO,P1-H3,2025,1,1,0,15,15,15,-15,NA,15
LOYO,P1-H3,2026,2,2,0,9.5,9.823441352,9.5,9.5,1,9.5
rolling,P1-B0,2024,3,3,0,9,9.469248474,10,-9,1,9
rolling,P1-B0,2025,1,1,0,5,5,5,-5,NA,5
rolling,P1-B0,2026,2,2,0,6,7.211102551,6,6,1,6
rolling,P1-B1,2024,3,3,0,13.33333333,13.39153962,13,-13.33333333,1,13.33333333
rolling,P1-B1,2025,1,1,0,13,13,13,-13,NA,13
rolling,P1-B1,2026,2,2,0,9.5,9.513148795,9.5,9.5,1,9.5
rolling,P1-D1,2024,3,3,0,19,26.96293753,7,19,-0.5,19
rolling,P1-D1,2025,1,1,0,7,7,7,-7,NA,7
rolling,P1-D1,2026,2,2,0,9.5,9.513148795,9.5,9.5,1,9.5
rolling,P1-D2,2024,3,3,0,11.66666667,14.36430762,9,11.66666667,1,11.66666667
rolling,P1-D2,2025,1,1,0,23,23,23,-23,NA,23
rolling,P1-D2,2026,2,0,2,365,365,365,NA,NA,NA
rolling,P1-H1,2024,3,3,0,8.333333333,9.814954576,12,8.333333333,0.5,8.333333333
rolling,P1-H1,2025,1,1,0,12,12,12,-12,NA,12
rolling,P1-H1,2026,2,2,0,13,13.15294644,13,13,1,13
rolling,P1-H2,2024,3,3,0,6.666666667,8.205689083,9,6.666666667,0.8660254038,6.666666667
rolling,P1-H2,2025,1,1,0,20,20,20,-20,NA,20
rolling,P1-H2,2026,2,2,0,11.5,11.5974135,11.5,11.5,1,11.5
rolling,P1-H3,2024,3,3,0,5.666666667,6.244997998,7,5.666666667,1,5.666666667
rolling,P1-H3,2025,1,1,0,13,13,13,-13,NA,13
rolling,P1-H3,2026,2,2,0,9.5,9.823441352,9.5,9.5,1,9.5
