model_id,MAE_improvement_vs_B0_days,nonworse_loyo_years,best_improvement_holdout_year,improvement_without_best_year_days,fragile,rolling_delta_MAE_vs_B0_days,selected_specs_across_loyo,parameter_validity_check_pass,stable_superiority,improvement_cluster_bootstrap_95_low_days,improvement_cluster_bootstrap_95_high_days,uncertainty_note
P2-B0,0,5,2022,0,False,0,1,True,False,0,0,five_year_descriptive_cluster_bootstrap_not_independent_external_validation
P2-M1,1.666666667,4,2024,1.222222222,False,-1.5,2,True,True,-0.125,2.642857143,five_year_descriptive_cluster_bootstrap_not_independent_external_validation
P2-M2,1.583333333,4,2024,1.111111111,False,-1.5,3,True,True,-0.125,2.642857143,five_year_descriptive_cluster_bootstrap_not_independent_external_validation
