validation,model_id,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days,delta_MAE_days,relative_MAE_reduction_pct
LOYO,P3-B0,12,12,0,4.916666667,6.238322424,4,1.25,0.6829053712,4.916666667,0,0
LOYO,P3-M1,12,12,0,4.833333333,6.123724357,5,1,0.7165492958,4.833333333,-0.08333333333,1.694915254
LOYO,P3-M2,12,12,0,6.5,7.958224258,6,2.833333333,0.5729358585,6.5,1.583333333,-32.20338983
rolling,P3-B0,6,6,0,6,7.505553499,5.5,2.333333333,0.5507824839,6,0,0
rolling,P3-M1,6,6,0,5.5,6.570134448,5.5,-0.8333333333,0.5428571429,5.5,-0.5,8.333333333
rolling,P3-M2,6,6,0,6.333333333,6.976149845,7,1,0.4857142857,6.333333333,0.3333333333,-5.555555556
