fit_id,holdout_year,validation,model_id,candidate_index,spec,inner_MAE_days,training_years
main_P3_P3-B0_LOYO_2022,2022,LOYO,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.111111111,2023;2024;2025;2026
main_P3_P3-M1_LOYO_2022,2022,LOYO,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5,2023;2024;2025;2026
main_P3_P3-M1_LOYO_2022,2022,LOYO,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",5.111111111,2023;2024;2025;2026
main_P3_P3-M1_LOYO_2022,2022,LOYO,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",5,2023;2024;2025;2026
main_P3_P3-M1_LOYO_2022,2022,LOYO,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",5.444444444,2023;2024;2025;2026
main_P3_P3-M1_LOYO_2022,2022,LOYO,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",6.222222222,2023;2024;2025;2026
main_P3_P3-B0_LOYO_2023,2023,LOYO,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",6,2022;2024;2025;2026
main_P3_P3-M1_LOYO_2023,2023,LOYO,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026
main_P3_P3-M1_LOYO_2023,2023,LOYO,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",6.666666667,2022;2024;2025;2026
main_P3_P3-M1_LOYO_2023,2023,LOYO,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",7,2022;2024;2025;2026
main_P3_P3-M1_LOYO_2023,2023,LOYO,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",7.555555556,2022;2024;2025;2026
main_P3_P3-M1_LOYO_2023,2023,LOYO,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",9.555555556,2022;2024;2025;2026
main_P3_P3-B0_LOYO_2024,2024,LOYO,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",2.777777778,2022;2023;2025;2026
main_P3_P3-M1_LOYO_2024,2024,LOYO,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026
main_P3_P3-M1_LOYO_2024,2024,LOYO,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",5.888888889,2022;2023;2025;2026
main_P3_P3-M1_LOYO_2024,2024,LOYO,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",6.222222222,2022;2023;2025;2026
main_P3_P3-M1_LOYO_2024,2024,LOYO,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",6.888888889,2022;2023;2025;2026
main_P3_P3-M1_LOYO_2024,2024,LOYO,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",8.111111111,2022;2023;2025;2026
main_P3_P3-B0_LOYO_2025,2025,LOYO,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.272727273,2022;2023;2024;2026
main_P3_P3-M1_LOYO_2025,2025,LOYO,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026
main_P3_P3-M1_LOYO_2025,2025,LOYO,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",5.363636364,2022;2023;2024;2026
main_P3_P3-M1_LOYO_2025,2025,LOYO,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",5.363636364,2022;2023;2024;2026
main_P3_P3-M1_LOYO_2025,2025,LOYO,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",5.909090909,2022;2023;2024;2026
main_P3_P3-M1_LOYO_2025,2025,LOYO,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",7.272727273,2022;2023;2024;2026
main_P3_P3-B0_LOYO_2026,2026,LOYO,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025
main_P3_P3-M1_LOYO_2026,2026,LOYO,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025
