fit_id,holdout_year,validation,model_id,candidate_index,spec,inner_MAE_days,training_years
main_P3_P3-M1_LOYO_2026,2026,LOYO,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",5.2,2022;2023;2024;2025
main_P3_P3-M1_LOYO_2026,2026,LOYO,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",5.5,2022;2023;2024;2025
main_P3_P3-M1_LOYO_2026,2026,LOYO,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",6.2,2022;2023;2024;2025
main_P3_P3-M1_LOYO_2026,2026,LOYO,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",6.9,2022;2023;2024;2025
main_P3_P3-B0_rolling_2024,2024,rolling,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",4,2022;2023
main_P3_P3-M1_rolling_2024,2024,rolling,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",7.5,2022;2023
main_P3_P3-M1_rolling_2024,2024,rolling,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",7.833333333,2022;2023
main_P3_P3-M1_rolling_2024,2024,rolling,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",8.666666667,2022;2023
main_P3_P3-M1_rolling_2024,2024,rolling,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",9.166666667,2022;2023
main_P3_P3-M1_rolling_2024,2024,rolling,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",10.66666667,2022;2023
main_P3_P3-B0_rolling_2025,2025,rolling,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",7,2022;2023;2024
main_P3_P3-M1_rolling_2025,2025,rolling,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.888888889,2022;2023;2024
main_P3_P3-M1_rolling_2025,2025,rolling,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",6.111111111,2022;2023;2024
main_P3_P3-M1_rolling_2025,2025,rolling,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",6.444444444,2022;2023;2024
main_P3_P3-M1_rolling_2025,2025,rolling,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",7,2022;2023;2024
main_P3_P3-M1_rolling_2025,2025,rolling,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",7.666666667,2022;2023;2024
main_P3_P3-B0_rolling_2026,2026,rolling,P3-B0,0,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025
main_P3_P3-M1_rolling_2026,2026,rolling,P3-M1,0,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025
main_P3_P3-M1_rolling_2026,2026,rolling,P3-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 8}",5.2,2022;2023;2024;2025
main_P3_P3-M1_rolling_2026,2026,rolling,P3-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 10}",5.5,2022;2023;2024;2025
main_P3_P3-M1_rolling_2026,2026,rolling,P3-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 12}",6.2,2022;2023;2024;2025
main_P3_P3-M1_rolling_2026,2026,rolling,P3-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 15}",6.9,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5.777777778,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,3,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.111111111,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,4,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,5,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",4.888888889,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,6,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.222222222,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,7,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,8,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",4.777777778,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,9,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.444444444,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,10,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2022,2022,LOYO,P3-M2,11,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.666666667,2023;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",7.222222222,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,3,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",6.111111111,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,4,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,5,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",6.555555556,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,6,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.777777778,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,7,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,8,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",6.666666667,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,9,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",8,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,10,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",6.333333333,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2023,2023,LOYO,P3-M2,11,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.777777778,2022;2024;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",4.888888889,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",6.333333333,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,3,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,4,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,5,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.777777778,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,6,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",4.666666667,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,7,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,8,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.888888889,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,9,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",6.555555556,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,10,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.555555556,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2024,2024,LOYO,P3-M2,11,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.111111111,2022;2023;2025;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5.545454545,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5.454545455,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,3,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.090909091,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,4,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,5,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,6,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.636363636,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,7,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,8,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.363636364,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,9,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",6.454545455,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,10,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.181818182,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2025,2025,LOYO,P3-M2,11,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",6.181818182,2022;2023;2024;2026
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",4.9,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5.7,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,3,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",4.9,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,4,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",4.9,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,5,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,6,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,7,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",4.9,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,8,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.1,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,9,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.9,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,10,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.9,2022;2023;2024;2025
main_P3_P3-M2_LOYO_2026,2026,LOYO,P3-M2,11,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.8,2022;2023;2024;2025
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",6.166666667,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",7.5,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",8.666666667,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,3,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",7.333333333,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,4,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",7.5,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,5,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",7.833333333,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,6,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.666666667,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,7,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",7.5,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,8,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",8.5,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,9,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",9.833333333,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,10,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",7.5,2022;2023
main_P3_P3-M2_rolling_2024,2024,rolling,P3-M2,11,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",5.333333333,2022;2023
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",6,2022;2023;2024
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",5.888888889,2022;2023;2024
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_day"", ""temperature"": 5}",6.777777778,2022;2023;2024
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,3,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.888888889,2022;2023;2024
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,4,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.888888889,2022;2023;2024
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,5,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",6,2022;2023;2024
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,6,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.888888889,2022;2023;2024
main_P3_P3-M2_rolling_2025,2025,rolling,P3-M2,7,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.888888889,2022;2023;2024
