validation,model_id,n_samples,n_predictions,n_unreached_or_invalid,MAE_days,RMSE_days,median_AE_days,mean_bias_days,Spearman_r,MAE_valid_only_days,delta_MAE_days,relative_MAE_reduction_pct
LOYO,P2-B0,12,12,0,6.75,7.544313532,6,0.5833333333,0.878713494,6.75,0,0
LOYO,P2-M1,12,12,0,5.083333333,7.158910532,3,1.416666667,0.8840599242,5.083333333,-1.666666667,24.69135802
LOYO,P2-M2,12,12,0,5.166666667,7.106335202,3.5,1.666666667,0.9002477227,5.166666667,-1.583333333,23.45679012
rolling,P2-B0,6,6,0,8.666666667,9.433981132,9,6,0.8709677419,8.666666667,0,0
rolling,P2-M1,6,6,0,7.166666667,8.934950102,6,4.5,0.6982532518,7.166666667,-1.5,17.30769231
rolling,P2-M2,6,6,0,7.166666667,8.934950102,6,4.5,0.6982532518,7.166666667,-1.5,17.30769231
