station_id,region_id,date,tmean_c,tmax_c,tmin_c,precip_mm,relative_humidity_pct,sunshine_h,shortwave_radiation_mj_m2,wind_speed_mean_ms,wind_speed_max_ms,et0_mm,requested_latitude,requested_longitude,grid_latitude,grid_longitude,elevation_m,timezone,source_provider,source_dataset,source_model,coordinate_basis,request_fingerprint_sha256,downloaded_at_utc
bannei,haikou,2021-08-12,28.6,31.2,27.5,6.3,86,10.826077777777778,20.13,2.79,4.22,4.42,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-13,28.9,31.3,27.5,8.5,83,11.604811111111111,21.19,3.53,5.22,4.69,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-14,28.9,31.8,27.4,6.4,83,10.20621388888889,20.76,4.25,5.61,4.72,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-15,28.7,30.5,27.7,3.9,85,8.531833333333333,15.98,4.87,5.82,3.69,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-16,29.0,31.8,27.4,2.4,82,12.0,22.64,4.01,5.73,5.1,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-17,29.5,32.1,27.3,0.0,79,12.382458333333332,25.4,3.01,4.7,5.66,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-18,29.1,31.3,27.6,0.2,82,11.891422222222223,24.54,3.34,4.71,5.39,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-19,28.9,31.6,27.2,1.8,81,11.847033333333334,23.75,3.5,5.19,5.33,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-20,29.2,31.5,27.1,0.0,76,12.240222222222224,24.39,3.43,5.41,5.63,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-21,29.2,31.3,27.2,0.0,79,12.367725,24.49,3.57,5.8,5.6,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-22,29.4,32.2,27.4,0.0,76,11.967147222222223,24.88,4.02,6.58,5.94,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-23,29.6,32.7,27.5,0.0,76,12.274980555555556,25.35,5.13,7.34,6.17,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-24,29.5,31.7,27.7,0.0,78,12.193858333333333,24.03,4.41,5.94,5.69,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-25,29.0,30.9,27.5,0.4,80,11.757525,22.14,4.87,7.04,5.24,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-26,28.6,30.5,27.1,1.1,79,12.031563888888888,22.44,5.13,6.23,5.15,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
