orchard_id,mean_abs_tmean_difference_c,max_abs_tmean_difference_c,daily_hourly_days_compared
bannei,0.02602831941,0.06666666667,1795
hongming,0.02520427112,0.0625,1795
luhong,0.02636490251,0.06666666667,1795
