season_id,orchard_id,station_id,harvest_year,source_block_id,task,start_event,end_event,start_source_cell,end_source_cell,observed_start_date,observed_end_date,candidate_start_date,candidate_end_date,candidate_duration_days_AUDIT_ONLY,observed_duration_days,raw_endpoint_pair_present,complete_date_pair,main_complete_date_pair,sensitivity_complete_date_pair,weather_coverage_ratio,tmean_coverage_ratio,precip_coverage_ratio,expected_days,observed_weather_days,missing_tmean_days,model_eligible,qc_flag
hongming_2024,hongming,haikou_region_proxy,2024,pheno_Sheet1_r09,P1,autumn_flush_mature,inflorescence_emergence,E9,G9,2023-09-20,2024-01-25,2026-09-20,2026-01-25,-238,127,1,1,1,1,0.9140625,0.9140625,0.9140625,128,117,11,0,incomplete_stage_weather
hongming_2024,hongming,haikou_region_proxy,2024,pheno_Sheet1_r09,P2,inflorescence_emergence,full_bloom,G9,I9,2024-01-25,2024-03-10,2026-01-25,2026-03-10,44,45,1,1,1,1,0.152173913,0.152173913,0.152173913,46,7,39,0,incomplete_stage_weather
hongming_2024,hongming,haikou_region_proxy,2024,pheno_Sheet1_r09,P3,full_bloom,maturity,I9,P9,2024-03-10,2024-05-12,2026-03-10,2026-05-12,63,63,1,1,1,1,0,0,0,64,0,64,0,incomplete_stage_weather
hongming_2025,hongming,haikou_region_proxy,2025,pheno_Sheet1_r12,P1,autumn_flush_mature,inflorescence_emergence,E12,G12,2024-09-20,2025-01-25,2026-09-20,2026-01-25,-238,127,1,1,0,0,0.9140625,0.9140625,0.9140625,128,117,11,0,incomplete_stage_weather;other_damage_review
hongming_2025,hongming,haikou_region_proxy,2025,pheno_Sheet1_r12,P2,inflorescence_emergence,full_bloom,G12,I12,2025-01-25,2025-03-10,2026-01-25,2026-03-10,44,44,1,1,0,0,0.1555555556,0.1555555556,0.1555555556,45,7,38,0,incomplete_stage_weather;other_damage_review
hongming_2025,hongming,haikou_region_proxy,2025,pheno_Sheet1_r12,P3,full_bloom,maturity,I12,P12,2025-03-10,2025-05-25,2026-03-10,2026-05-25,76,76,1,1,0,0,0,0,0,77,0,77,0,incomplete_stage_weather;other_damage_review
hongming_2026,hongming,haikou_region_proxy,2026,pheno_Sheet1_r15,P1,autumn_flush_mature,inflorescence_emergence,E15,G15,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,complete_dates_not_validated;other_damage_review
hongming_2026,hongming,haikou_region_proxy,2026,pheno_Sheet1_r15,P2,inflorescence_emergence,full_bloom,G15,I15,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,complete_dates_not_validated;other_damage_review
hongming_2026,hongming,haikou_region_proxy,2026,pheno_Sheet1_r15,P3,full_bloom,maturity,I15,P15,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,complete_dates_not_validated;other_damage_review
luhong_2022,luhong,lingshui_region_proxy,2022,pheno_Sheet1_r04,P1,autumn_flush_mature,inflorescence_emergence,E4,G4,2021-08-28,2022-01-03,2026-08-28,2026-01-03,-237,128,1,1,1,1,0.7364341085,0.7364341085,0.7209302326,129,95,34,0,incomplete_stage_weather
luhong_2022,luhong,lingshui_region_proxy,2022,pheno_Sheet1_r04,P2,inflorescence_emergence,full_bloom,G4,I4,2022-01-03,2022-02-15,2026-01-03,2026-02-15,43,43,1,1,1,1,0.6590909091,0.6590909091,0.6590909091,44,29,15,0,incomplete_stage_weather
luhong_2022,luhong,lingshui_region_proxy,2022,pheno_Sheet1_r04,P3,full_bloom,maturity,I4,P4,2022-02-15,2022-04-25,2026-02-15,2026-04-25,69,69,1,1,1,1,0,0,0,70,0,70,0,incomplete_stage_weather
luhong_2023,luhong,lingshui_region_proxy,2023,pheno_Sheet1_r07,P1,autumn_flush_mature,inflorescence_emergence,E7,G7,2022-08-28,2023-01-03,2026-08-28,2026-01-03,-237,128,1,1,1,1,0.7364341085,0.7054263566,0.7286821705,129,95,38,0,incomplete_stage_weather
luhong_2023,luhong,lingshui_region_proxy,2023,pheno_Sheet1_r07,P2,inflorescence_emergence,full_bloom,G7,I7,2023-01-03,2023-02-15,2026-01-03,2026-02-15,43,43,1,1,1,1,0.6590909091,0,0.6590909091,44,29,44,0,incomplete_stage_weather
luhong_2023,luhong,lingshui_region_proxy,2023,pheno_Sheet1_r07,P3,full_bloom,maturity,I7,P7,2023-02-15,2023-05-05,2026-02-15,2026-05-05,79,79,1,1,1,1,0,0,0,80,0,80,0,incomplete_stage_weather
luhong_2024,luhong,lingshui_region_proxy,2024,pheno_Sheet1_r10,P1,autumn_flush_mature,inflorescence_emergence,E10,G10,2023-09-05,2024-01-16,2026-09-05,2026-01-16,-232,133,1,1,1,1,0.8059701493,0.8059701493,0.8059701493,134,108,26,0,incomplete_stage_weather
luhong_2024,luhong,lingshui_region_proxy,2024,pheno_Sheet1_r10,P2,inflorescence_emergence,full_bloom,G10,I10,2024-01-16,2024-02-15,2026-01-16,2026-02-15,30,30,1,1,1,1,0.5161290323,0.5161290323,0.5161290323,31,16,15,0,incomplete_stage_weather
luhong_2024,luhong,lingshui_region_proxy,2024,pheno_Sheet1_r10,P3,full_bloom,maturity,I10,P10,2024-02-15,2024-05-05,2026-02-15,2026-05-05,79,80,1,1,1,1,0,0,0,81,0,81,0,incomplete_stage_weather
luhong_2025,luhong,lingshui_region_proxy,2025,pheno_Sheet1_r13,P1,autumn_flush_mature,inflorescence_emergence,E13,G13,2024-09-05,2025-01-16,2026-09-05,2026-01-16,-232,133,1,1,1,1,0.8059701493,0.8059701493,0.8059701493,134,108,26,0,incomplete_stage_weather
luhong_2025,luhong,lingshui_region_proxy,2025,pheno_Sheet1_r13,P2,inflorescence_emergence,full_bloom,G13,I13,2025-01-16,2025-02-15,2026-01-16,2026-02-15,30,30,1,1,1,1,0.5161290323,0.5161290323,0.5161290323,31,16,15,0,incomplete_stage_weather
luhong_2025,luhong,lingshui_region_proxy,2025,pheno_Sheet1_r13,P3,full_bloom,maturity,I13,P13,2025-02-15,2025-05-05,2026-02-15,2026-05-05,79,79,1,1,1,1,0,0,0,80,0,80,0,incomplete_stage_weather
luhong_2026,luhong,lingshui_region_proxy,2026,pheno_Sheet1_r16,P1,autumn_flush_mature,inflorescence_emergence,E16,G16,2025-08-25,2026-01-01,2026-08-25,2026-01-01,-236,129,1,1,1,1,0.7153846154,0.7153846154,0.7153846154,130,93,37,0,incomplete_stage_weather
luhong_2026,luhong,lingshui_region_proxy,2026,pheno_Sheet1_r16,P2,inflorescence_emergence,full_bloom,G16,I16,2026-01-01,2026-02-15,2026-01-01,2026-02-15,45,45,1,1,1,1,0.6739130435,0.6739130435,0.6739130435,46,31,15,0,incomplete_stage_weather
luhong_2026,luhong,lingshui_region_proxy,2026,pheno_Sheet1_r16,P3,full_bloom,maturity,I16,P16,2026-02-15,2026-05-10,2026-02-15,2026-05-10,84,84,1,1,1,1,0,0,0,85,0,85,0,incomplete_stage_weather
