orchard_id,region_id,station_id,cultivar,harvest_year,source_block_id,plot_id,tree_id,tree_class,source_file,source_sheet,source_row,year_source_cell,year_protocol_conflict,tree_count,tree_count_source_cell,tree_count_raw,sample_tree_1_yield_kg,sample_tree_1_yield_kg_source_cell,sample_tree_1_yield_kg_raw,sample_tree_2_yield_kg,sample_tree_2_yield_kg_source_cell,sample_tree_2_yield_kg_raw,sample_tree_3_yield_kg,sample_tree_3_yield_kg_source_cell,sample_tree_3_yield_kg_raw,single_fruit_weight_g,single_fruit_weight_g_source_cell,single_fruit_weight_g_raw,diseased_pest_fruit_pct,diseased_pest_fruit_pct_source_cell,diseased_pest_fruit_pct_raw,reported_class_mean_yield_kg,reported_class_mean_yield_kg_source_cell,reported_class_mean_yield_kg_raw,reported_yield_kg_per_mu,reported_yield_kg_per_mu_source_cell,reported_yield_kg_per_mu_raw,sample_tree_mean_yield_kg,class_mean_difference_kg,class_mean_mismatch
bannei,haikou,haikou_region_proxy,妃子笑,2023,yield_Sheet1_r12,NA,NA,A,测产.xlsx,Sheet1,12,A12,0,135,D12,135,55.06,E12,55.06,47.8,F12,47.8,46.77,G12,46.77,24.5,H12,24.5,0,I12,0,50.88,J12,50.88,1590,K12,1590,49.87666667,1.003333333,1
bannei,haikou,haikou_region_proxy,妃子笑,2023,yield_Sheet1_r12,NA,NA,B,测产.xlsx,Sheet1,13,A12,0,65,D13,65,47.3,E13,47.3,42.87,F13,42.87,41.2,G13,41.2,25.9,H13,25.9,0,I13,0,44.12,J13,44.12,1590,K12,1590,43.79,0.33,1
hongming,haikou,haikou_region_proxy,白糖罂,2023,yield_Sheet1_r15,NA,NA,A,测产.xlsx,Sheet1,15,A12,0,193,D15,193,56.08,E15,56.08,57.81,F15,57.81,50.88,G15,50.88,20.5,H15,20.5,0,I15,0,54.09,J15,54.09,753.6,K15,753.6,54.92333333,-0.8333333333,1
hongming,haikou,haikou_region_proxy,白糖罂,2023,yield_Sheet1_r15,NA,NA,B,测产.xlsx,Sheet1,16,A12,0,7,D16,7,48.25,E16,48.25,54.38,F16,54.38,57.91,G16,57.91,20.4,H16,20.4,0,I16,0,52.18,J16,52.18,753.6,K15,753.6,53.51333333,-1.333333333,1
luhong,lingshui,lingshui_region_proxy,妃子笑,2023,yield_Sheet1_r18,NA,NA,A,测产.xlsx,Sheet1,18,A12,0,92,D18,92,49.21,E18,49.21,51.6,F18,51.6,48.25,G18,48.25,20.7,H18,20.7,0,I18,0,50.35,J18,50.35,783.55,K18,783.55,49.68666667,0.6633333333,1
luhong,lingshui,lingshui_region_proxy,妃子笑,2023,yield_Sheet1_r18,NA,NA,B,测产.xlsx,Sheet1,19,A12,0,108,D19,108,44.17,E19,44.17,43.36,F19,43.36,46.45,G19,46.45,21.9,H19,21.9,0,I19,0,45.66,J19,45.66,783.55,K18,783.55,44.66,1,1
luhong,lingshui,lingshui_region_proxy,妃子笑,2024,yield_Sheet1_r27,NA,NA,A,测产.xlsx,Sheet1,27,A21,0,170,D27,170,58.3,E27,58.3,61.55,F27,61.55,64.89,G27,64.89,23,H27,23,0,I27,0,61.76,J27,61.76,1027.8,K27,1027.8,61.58,0.18,1
luhong,lingshui,lingshui_region_proxy,妃子笑,2024,yield_Sheet1_r27,NA,NA,B,测产.xlsx,Sheet1,28,A21,0,30,D28,30,62.91,E28,62.91,58.76,F28,58.76,63.61,G28,63.61,24.3,H28,24.3,0,I28,0,61.58,J28,61.58,1027.8,K27,1027.8,61.76,-0.18,1
