season_id,orchard_id,harvest_year,source_block_id,task,start_event,end_event,start_source_cell,end_source_cell,observed_start_date,observed_end_date,candidate_start_date,candidate_end_date,candidate_duration_days_AUDIT_ONLY,observed_duration_days,raw_endpoint_pair_present,complete_date_pair,main_complete_date_pair,weather_coverage_ratio,tmean_coverage_ratio,model_eligible,qc_flag
hongming_2025,hongming,2025,pheno_Sheet1_r12,P3,full_bloom,maturity,I12,P12,NA,NA,2026-03-10,2026-05-25,76,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict;other_damage_review
hongming_2026,hongming,2026,pheno_Sheet1_r15,P1,autumn_flush_mature,inflorescence_emergence,E15,G15,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;other_damage_review
hongming_2026,hongming,2026,pheno_Sheet1_r15,P2,inflorescence_emergence,full_bloom,G15,I15,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;other_damage_review
hongming_2026,hongming,2026,pheno_Sheet1_r15,P3,full_bloom,maturity,I15,P15,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,complete_dates_not_validated;other_damage_review
luhong_2022,luhong,2022,pheno_Sheet1_r04,P1,autumn_flush_mature,inflorescence_emergence,E4,G4,NA,NA,2026-08-28,2026-01-03,-237,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
luhong_2022,luhong,2022,pheno_Sheet1_r04,P2,inflorescence_emergence,full_bloom,G4,I4,NA,NA,2026-01-03,2026-02-15,43,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2022,luhong,2022,pheno_Sheet1_r04,P3,full_bloom,maturity,I4,P4,NA,NA,2026-02-15,2026-04-25,69,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2023,luhong,2023,pheno_Sheet1_r07,P1,autumn_flush_mature,inflorescence_emergence,E7,G7,NA,NA,2026-08-28,2026-01-03,-237,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
luhong_2023,luhong,2023,pheno_Sheet1_r07,P2,inflorescence_emergence,full_bloom,G7,I7,NA,NA,2026-01-03,2026-02-15,43,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2023,luhong,2023,pheno_Sheet1_r07,P3,full_bloom,maturity,I7,P7,NA,NA,2026-02-15,2026-05-05,79,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2024,luhong,2024,pheno_Sheet1_r10,P1,autumn_flush_mature,inflorescence_emergence,E10,G10,NA,NA,2026-09-05,2026-01-16,-232,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
luhong_2024,luhong,2024,pheno_Sheet1_r10,P2,inflorescence_emergence,full_bloom,G10,I10,NA,NA,2026-01-16,2026-02-15,30,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2024,luhong,2024,pheno_Sheet1_r10,P3,full_bloom,maturity,I10,P10,NA,NA,2026-02-15,2026-05-05,79,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2025,luhong,2025,pheno_Sheet1_r13,P1,autumn_flush_mature,inflorescence_emergence,E13,G13,NA,NA,2026-09-05,2026-01-16,-232,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start;candidate_year_conflict
luhong_2025,luhong,2025,pheno_Sheet1_r13,P2,inflorescence_emergence,full_bloom,G13,I13,NA,NA,2026-01-16,2026-02-15,30,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2025,luhong,2025,pheno_Sheet1_r13,P3,full_bloom,maturity,I13,P13,NA,NA,2026-02-15,2026-05-05,79,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_year_conflict
luhong_2026,luhong,2026,pheno_Sheet1_r16,P1,autumn_flush_mature,inflorescence_emergence,E16,G16,NA,NA,2026-08-25,2026-01-01,-236,NA,1,0,0,NA,NA,0,complete_dates_not_validated;candidate_end_not_after_start
luhong_2026,luhong,2026,pheno_Sheet1_r16,P2,inflorescence_emergence,full_bloom,G16,I16,NA,NA,2026-01-01,2026-02-15,45,NA,1,0,0,NA,NA,0,complete_dates_not_validated
luhong_2026,luhong,2026,pheno_Sheet1_r16,P3,full_bloom,maturity,I16,P16,NA,NA,2026-02-15,2026-05-10,84,NA,1,0,0,NA,NA,0,complete_dates_not_validated
