cohort,validation,model_id,orchard_id,n_predictions,MAE_kg_mu,RMSE_kg_mu,median_AE_kg_mu,mean_bias_kg_mu,Spearman_r,normalized_MAE,negative_predictions
SENS-HM25,LOYO,Y-W2O,hongming,4,753.6090459,909.3811328,811.6983231,58.08927729,-1,0.9676292928,0
SENS-HM25,LOYO,Y-W2O,luhong,5,346.7739055,445.5712489,176.0566673,-110.6143568,-0.9746794345,0.2931433328,0
SENS-HM25,LOYO,Y-W3P,bannei,3,440.2631442,454.0885384,472.551026,-125.2291268,-0.5,0.3653666372,0
SENS-HM25,LOYO,Y-W3P,hongming,2,620.3368489,729.8065137,620.3368489,620.3368489,-1,1.441403557,0
SENS-HM25,LOYO,Y-W3P,luhong,3,215.5277449,223.1742574,174.9894148,98.86813503,-0.5,0.214296966,0
SENS-HM25,LOYO,Y-W3P+PHENO,bannei,3,472.483232,496.724277,454.2935099,-169.620892,-1,0.3921055212,0
SENS-HM25,LOYO,Y-W3P+PHENO,hongming,2,690.9290203,755.8309346,690.9290203,306.4269745,-1,1.605430258,0
SENS-HM25,LOYO,Y-W3P+PHENO,luhong,3,158.1190492,161.7622641,174.4438685,31.91634046,0.5,0.1572161047,0
SENS-HM25-26,LOYO,Y-B0,bannei,4,454.9875,475.6961546,451.86,-3.1275,-0.894427191,0.3952143011,0
SENS-HM25-26,LOYO,Y-B0,hongming,5,490.512,632.8477357,301.785,-111.884,-0.9486832981,0.6344692707,0
SENS-HM25-26,LOYO,Y-B0,luhong,5,270.658,333.5645061,178.08,-30.494,-0.8885233166,0.2287991885,0
SENS-HM25-26,LOYO,Y-W1C,bannei,4,432.6759308,487.3101142,561.5898766,-151.7255786,-0.4,0.3758338759,0
SENS-HM25-26,LOYO,Y-W1C,hongming,5,579.0972292,651.0224082,605.2903072,115.2581536,-0.3,0.7490528196,0
SENS-HM25-26,LOYO,Y-W1C,luhong,5,350.9758793,410.9347769,264.2877992,-148.4925482,-0.4616902584,0.2966954472,0
SENS-HM25-26,LOYO,Y-W1M,bannei,4,367.8297658,398.5289345,371.6023871,-142.8162055,-0.2,0.3195067641,0
SENS-HM25-26,LOYO,Y-W1M,hongming,5,668.9110516,796.5433135,490.276917,126.1579827,-0.6,0.8652255339,0
SENS-HM25-26,LOYO,Y-W1M,luhong,5,302.6001811,432.611575,185.1259214,-147.1822527,-0.6155870113,0.2558013282,0
SENS-HM26,LOYO,Y-B0,bannei,4,454.9875,475.6961546,451.86,-3.1275,-0.894427191,0.3952143011,0
SENS-HM26,LOYO,Y-B0,hongming,4,426.8275,618.2970967,324.905,-101.9225,-0.894427191,0.499887275,0
SENS-HM26,LOYO,Y-B0,luhong,5,270.658,333.5645061,178.08,-30.494,-0.8885233166,0.2287991885,0
SENS-HM26,LOYO,Y-W1C,bannei,4,343.2813729,394.2137862,400.8153091,-57.5339362,-0.4,0.2981833739,0
SENS-HM26,LOYO,Y-W1C,hongming,4,537.3350298,653.468724,524.4756637,109.3045481,-0.4,0.629310304,0
SENS-HM26,LOYO,Y-W1C,luhong,5,305.8374832,367.954712,204.4995211,-98.25543456,-0.7181848465,0.2585379629,0
SENS-HM26,LOYO,Y-W1M,bannei,4,311.3116583,364.3671604,321.9007525,-66.25702955,-0.4,0.2704136255,0
SENS-HM26,LOYO,Y-W1M,hongming,4,740.409367,867.6738673,709.40634,100.6468919,-0.8,0.8671447384,0
SENS-HM26,LOYO,Y-W1M,luhong,5,299.3912109,424.658997,178.1620731,-64.56887679,-0.2051956704,0.2530886435,0
