cohort,validation,model_id,holdout_year,n_predictions,MAE_kg_mu,RMSE_kg_mu,median_AE_kg_mu,mean_bias_kg_mu,Spearman_r,normalized_MAE,negative_predictions
SENS-HM25,LOYO,Y-W1M,2023,3,366.5368988,386.4084903,291.1918548,7.161095177,0.5,0.351633499,0
SENS-HM25,LOYO,Y-W1M,2024,3,558.9703029,659.4171961,479.5849996,558.9703029,1,0.9046388313,0
SENS-HM25,LOYO,Y-W1M,2025,2,271.9952419,366.6318625,271.9952419,245.8404178,1,0.3284927016,0
SENS-HM25,LOYO,Y-W1M,2026,2,239.1517874,245.1782446,239.1517874,-239.1517874,-1,0.1903991365,0
SENS-HM25,LOYO,Y-W2O,2022,3,874.5498694,965.4509455,852.4381322,-874.5498694,-0.5,0.5848475734,0
SENS-HM25,LOYO,Y-W2O,2023,3,385.0319403,480.6632632,449.3375373,-85.47358205,0.5,0.3693765316,0
SENS-HM25,LOYO,Y-W2O,2024,3,540.2222667,644.7265873,482.4094054,540.2222667,0.5,0.8742969661,0
SENS-HM25,LOYO,Y-W2O,2025,2,370.5882212,450.1925263,370.5882212,255.6123647,1,0.4475649101,0
SENS-HM25,LOYO,Y-W2O,2026,2,233.6720468,240.6702254,233.6720468,-233.6720468,-1,0.1860364767,0
SENS-HM25,LOYO,Y-W3P,2023,3,363.5768195,389.363863,297.4353184,-8.026920834,0.5,0.3487937766,0
SENS-HM25,LOYO,Y-W3P,2024,3,550.4978985,648.9034033,472.551026,550.4978985,1,0.8909270724,0
SENS-HM25,LOYO,Y-W3P,2026,2,232.9111053,240.0052192,232.9111053,-232.9111053,-1,0.1854306582,0
SENS-HM25,LOYO,Y-W3P+PHENO,2023,3,387.9185109,449.8745687,384.5020458,-314.1790335,1,0.3721457342,0
SENS-HM25,LOYO,Y-W3P+PHENO,2024,3,542.0311244,640.7111249,454.2935099,542.0311244,1,0.8772244256,0
SENS-HM25,LOYO,Y-W3P+PHENO,2026,2,241.9079893,247.5614032,241.9079893,-241.9079893,-1,0.1925934687,0
SENS-HM25-26,LOYO,Y-B0,2022,3,698.4116667,791.7293593,574.8,-487.5916667,-1,0.4670566914,0
SENS-HM25-26,LOYO,Y-B0,2023,3,391.9116667,432.780053,422.33,-110.3583333,0.5,0.3759765281,0
SENS-HM25-26,LOYO,Y-B0,2024,3,470.1183333,514.0054094,587.49,470.1183333,0.5,0.7608405982,0
SENS-HM25-26,LOYO,Y-B0,2025,2,195.4125,222.4885478,195.4125,106.3725,1,0.2360025845,0
SENS-HM25-26,LOYO,Y-B0,2026,3,184.55,208.1234881,148.38,-184.55,0.5,0.1697084319,0
SENS-HM25-26,LOYO,Y-W1C,2022,3,575.2941658,691.6830271,741.8789493,-575.2941658,-0.5,0.3847229399,0
SENS-HM25-26,LOYO,Y-W1C,2023,3,356.1445771,385.1536595,263.3525568,-19.29585349,1,0.3416637293,0
