context,model_id,alpha,inner_MAE_kg_mu,training_years
MAIN_LOYO_outer_2024,Y-W2O,100,331.4285089,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W2O,1000,327.7019542,2022;2023;2025;2026
MAIN_LOYO_outer_2025,Y-W2O,0.1,1192.285041,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W2O,1,854.8741773,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W2O,10,561.0122508,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W2O,100,477.0004438,2022;2023;2024;2026
MAIN_LOYO_outer_2025,Y-W2O,1000,472.3504554,2022;2023;2024;2026
MAIN_LOYO_outer_2026,Y-W2O,0.1,1137.702449,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W2O,1,904.4571221,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W2O,10,637.0189529,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W2O,100,521.1886689,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W2O,1000,506.3401783,2022;2023;2024;2025
MAIN_LOYO_outer_2023,Y-W3P,0.1,1191.880361,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P,1,929.4350552,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P,10,675.0034237,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P,100,513.1818404,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P,1000,491.9214284,2022;2024;2025;2026
MAIN_LOYO_outer_2024,Y-W3P,0.1,1081.874959,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W3P,1,663.2611199,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W3P,10,399.4774482,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W3P,100,332.9920995,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W3P,1000,327.822297,2022;2023;2025;2026
MAIN_LOYO_outer_2026,Y-W3P,0.1,1371.609671,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P,1,849.5571862,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P,10,609.9176048,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P,100,524.9488268,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P,1000,506.804,2022;2023;2024;2025
MAIN_LOYO_outer_2023,Y-W3P+PHENO,0.1,753.7842662,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P+PHENO,1,685.3077442,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P+PHENO,10,563.416643,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P+PHENO,100,490.5151612,2022;2024;2025;2026
MAIN_LOYO_outer_2023,Y-W3P+PHENO,1000,489.1885835,2022;2024;2025;2026
MAIN_LOYO_outer_2024,Y-W3P+PHENO,0.1,818.6591783,2022;2023;2025;2026
