context,model_id,alpha,inner_MAE_kg_mu,training_years
SENS-HM26_LOYO_outer_2023,Y-W1M,100,474.3947622,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1M,1000,460.4263513,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1M,0.1,1092.997582,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1M,1,497.9860711,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1M,10,358.2393422,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1M,100,337.3239859,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1M,1000,336.4744096,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2025,Y-W1M,0.1,730.4937611,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1M,1,503.6775791,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1M,10,416.4092642,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1M,100,438.1075174,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1M,1000,444.3613426,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2026,Y-W1M,0.1,1609.774898,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1M,1,780.0501832,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1M,10,499.584832,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1M,100,503.6598405,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1M,1000,504.5293231,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2022,Y-W1C,0.1,356.4764739,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1C,1,445.7367364,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1C,10,421.5916208,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1C,100,331.9341495,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1C,1000,342.2292919,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1C,0.1,639.1350254,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1C,1,621.7821148,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1C,10,541.4308289,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1C,100,483.8476107,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1C,1000,469.1396715,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1C,0.1,1069.667372,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1C,1,430.0313372,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1C,10,356.9515255,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1C,100,368.7036098,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1C,1000,371.6833593,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1C,0.1,920.8122766,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1C,1,448.1012501,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1C,10,447.1849935,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1C,100,431.3881233,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1C,1000,442.7893193,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2026,Y-W1C,0.1,1294.546259,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1C,1,732.1587882,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1C,10,466.4705523,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1C,100,478.6531835,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1C,1000,491.7856361,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2022,Y-W1M,0.1,201.6518804,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1M,1,168.7508573,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1M,10,209.3988246,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1M,100,308.403592,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2022,Y-W1M,1000,340.4666292,2023;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1M,0.1,849.7971819,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1M,1,670.712902,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1M,10,519.2056172,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1M,100,477.9970312,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2023,Y-W1M,1000,468.6273179,2022;2024;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1M,0.1,863.9069792,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1M,1,549.3997038,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1M,10,377.5756608,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1M,100,365.3803151,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2024,Y-W1M,1000,371.1798114,2022;2023;2025;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1M,0.1,730.4937611,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1M,1,503.6775791,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1M,10,416.4092642,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1M,100,438.1075174,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2025,Y-W1M,1000,444.3613426,2022;2023;2024;2026
SENS-HM25-26_LOYO_outer_2026,Y-W1M,0.1,1219.75056,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1M,1,818.3872386,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1M,10,545.6395561,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1M,100,502.6952293,2022;2023;2024;2025
SENS-HM25-26_LOYO_outer_2026,Y-W1M,1000,494.6582958,2022;2023;2024;2025
