station_id,region_id,date,tmean_c,tmax_c,tmin_c,precip_mm,relative_humidity_pct,sunshine_h,shortwave_radiation_mj_m2,wind_speed_mean_ms,wind_speed_max_ms,et0_mm,requested_latitude,requested_longitude,grid_latitude,grid_longitude,elevation_m,timezone,source_provider,source_dataset,source_model,coordinate_basis,request_fingerprint_sha256,downloaded_at_utc
haikou_region_proxy,haikou,2021-08-12,27.8,32.4,25.7,11.1,86,9.085202777777777,19.55,1.83,2.77,4.18,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-13,28.2,32.5,25.6,19.4,84,11.330888888888888,20.52,2.95,3.88,4.46,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-14,28.2,32.9,26.1,10.4,85,10.366561111111112,20.9,3.32,4.4,4.52,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-15,27.9,31.7,25.8,3.8,86,9.448866666666666,17.36,3.72,5.25,3.78,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-16,28.3,32.8,25.7,8.7,83,12.033622222222222,23.14,2.91,3.65,4.99,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-17,29.3,34.1,25.8,0.8,78,12.313961111111112,25.26,1.89,3.01,5.49,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-18,28.7,33.1,26.2,0.9,81,12.103397222222224,24.6,2.51,3.31,5.37,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-19,28.4,33.0,25.3,5.5,81,11.99496388888889,24.13,2.45,3.42,5.24,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-20,28.9,33.0,25.5,0.2,77,12.30663888888889,24.75,2.29,3.31,5.44,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
haikou_region_proxy,haikou,2021-08-21,29.0,33.1,25.7,0.2,79,12.364638888888889,24.9,2.48,3.73,5.5,19.75,110.55,19.75,110.5,82.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,regional proxy for the Yunlong/Bannei and Sanmenpo/Hongming production area; not an exact orchard coordinate,1ec4be50fae0e7649e83842280e3a31ebdc1f5857a34ad8c15ed792cb1c25fb6,2026-08-28T01:59:41+00:00
